year,temp_max,temp_min,precipitation,windspeed
1995,14.9,0.4,0.0,10.3
1996,12.6,-0.4,0.0,14.8
1997,14.4,3.0,0.0,8.9
1998,13.4,8.0,0.5,22.7
1999,13.9,4.0,0.0,7.0
2000,12.8,10.4,7.1,28.5
2001,10.1,2.9,2.3,28.5
2002,14.7,7.1,0.0,17.8
2003,13.6,5.3,2.3,9.3
2004,7.2,-1.5,1.1,23.0
2005,3.1,-3.6,0.0,24.3
2006,9.6,-0.6,0.3,21.8
2007,14.5,11.9,0.0,21.1
2008,14.2,10.0,0.3,20.7
2009,10.8,8.7,10.9,12.0
2010,14.0,7.4,3.3,13.7
2011,8.5,4.5,10.4,32.3
2012,16.8,6.4,0.0,9.4
2013,13.2,1.7,1.5,14.7
2014,9.6,7.1,22.8,21.4
2015,12.3,4.7,0.4,18.5
2016,14.8,5.8,0.0,10.4
2017,14.7,8.6,1.0,30.8
2018,2.1,-0.2,9.3,21.6
2019,13.4,5.1,0.3,12.7
2020,14.3,9.0,14.8,19.2
2021,16.9,1.1,0.0,9.6
2022,11.1,0.6,0.0,23.2
2023,6.9,3.4,13.7,19.1
2024,13.4,10.7,10.2,11.4
