Global_active_power,Global_reactive_power,Voltage
4.216,0.418,234.84
5.36,0.436,233.63
5.374,0.498,233.29
5.388,0.502,233.74
3.666,0.528,235.68
3.52,0.522,235.02
3.702,0.52,235.09
3.7,0.52,235.22
3.668,0.51,233.99
3.662,0.51,233.86
4.448,0.498,232.86
5.412,0.47,232.78
5.224,0.478,232.99
5.268,0.398,232.91
4.054,0.422,235.24
3.384,0.282,237.14
3.27,0.152,236.73
3.43,0.156,237.06
3.266,0.0,237.13
3.728,0.0,235.84
5.894,0.0,232.69
7.706,0.0,230.98
7.026,0.0,232.21
5.174,0.0,234.19
4.474,0.0,234.96
3.248,0.0,236.66
3.236,0.0,235.84
3.228,0.0,235.6
3.258,0.0,235.49
3.178,0.0,235.28
2.72,0.0,235.06
3.758,0.076,234.17
4.342,0.09,233.77
4.512,0.0,233.62
4.058,0.2,234.68
2.472,0.058,236.94
2.79,0.18,237.52
2.624,0.144,238.2
2.772,0.118,238.28
3.74,0.108,236.93
4.928,0.202,235.01
6.052,0.192,232.93
6.752,0.186,232.12
6.474,0.144,231.85
6.308,0.116,232.25
4.464,0.136,234.66
3.396,0.148,236.2
3.09,0.152,237.07
3.73,0.144,235.78
2.308,0.16,237.43
2.388,0.158,237.26
4.598,0.1,234.25
4.524,0.076,234.2
4.202,0.082,234.31
4.472,0.0,233.29
2.852,0.0,235.61
2.928,0.0,235.25
2.94,0.0,236.04
2.934,0.0,235.51
2.926,0.0,235.68
3.452,0.0,235.2
4.87,0.0,233.74
4.868,0.0,233.84
4.866,0.0,233.79
3.176,0.0,235.5
2.92,0.0,235.84
2.93,0.0,236.15
2.912,0.05,235.81
2.608,0.052,235.41
2.714,0.162,234.82
3.538,0.086,233.76
6.072,0.0,232.48
4.536,0.0,233.54
4.408,0.0,232.32
2.912,0.048,234.02
2.326,0.054,234.76
2.264,0.054,234.67
2.27,0.054,235.27
2.258,0.054,235.12
2.188,0.068,235.8
2.978,0.166,234.81
4.2,0.174,234.38
4.204,0.186,234.2
4.218,0.178,233.98
2.786,0.188,234.99
2.54,0.088,234.67
2.496,0.08,233.92
2.336,0.07,233.51
2.322,0.0,233.44
2.448,0.0,233.64
4.298,0.0,232.39
4.23,0.09,232.25
4.23,0.09,232.32
3.924,0.084,232.79
4.218,0.09,232.09
4.224,0.09,231.96
4.07,0.088,231.99
3.612,0.09,232.36
3.458,0.09,232.71
3.434,0.09,232.01
3.366,0.0,232.78
3.404,0.082,233.08
3.382,0.074,233.69
3.616,0.106,234.44
3.476,0.092,234.6
3.394,0.064,235.12
3.4,0.0,234.28
3.414,0.0,234.19
3.432,0.0,234.69
3.418,0.0,234.26
3.392,0.0,233.3
3.394,0.0,233.43
3.394,0.0,233.45
3.406,0.0,233.91
3.42,0.0,234.43
3.418,0.0,234.34
3.422,0.052,234.58
3.332,0.0,234.02
3.316,0.046,234.29
3.334,0.0,234.36
3.262,0.052,232.64
3.476,0.064,232.96
3.62,0.09,233.47
3.61,0.084,234.98
3.646,0.138,234.34
3.614,0.192,233.92
3.408,0.162,233.94
3.388,0.134,233.72
3.372,0.132,233.2
3.37,0.132,233.1
3.342,0.12,232.29
3.284,0.0,232.45
3.276,0.0,231.97
3.382,0.13,232.42
3.418,0.16,233.38
3.396,0.158,232.69
3.406,0.158,233.2
3.406,0.158,233.26
3.392,0.156,232.84
3.378,0.154,232.39
3.368,0.154,232.14
3.35,0.152,231.57
3.352,0.152,231.66
3.364,0.154,232.22
3.38,0.156,232.81
3.404,0.16,233.77
3.378,0.156,232.82
3.388,0.158,233.22
3.376,0.156,232.84
3.254,0.0,232.75
3.214,0.078,232.64
3.202,0.078,232.2
3.202,0.078,232.2
3.212,0.078,232.58
3.206,0.078,232.4
3.214,0.078,232.66
3.206,0.078,232.43
3.222,0.078,233.02
3.216,0.076,232.8
3.216,0.078,232.79
3.194,0.078,231.98
3.278,0.0,232.88
3.282,0.0,232.52
3.292,0.0,232.87
3.316,0.0,233.78
3.37,0.08,233.69
3.42,0.144,234.04
3.41,0.142,233.93
3.4,0.14,233.62
3.4,0.14,233.64
3.388,0.14,233.26
3.37,0.086,233.9
3.332,0.0,233.68
3.31,0.0,232.83
3.312,0.0,233.0
3.314,0.0,233.08
3.302,0.0,232.69
3.302,0.0,232.91
3.3,0.0,232.87
3.29,0.0,232.42
3.286,0.0,232.31
3.23,0.052,232.79
3.218,0.078,233.05
3.258,0.076,234.57
3.264,0.076,234.79
3.26,0.076,234.6
3.262,0.076,234.54
3.264,0.076,234.6
3.238,0.076,233.77
3.228,0.078,233.5
3.222,0.078,233.27
3.226,0.078,233.37
3.206,0.078,232.64
3.188,0.08,231.95
3.196,0.08,232.21
3.204,0.078,232.5
3.232,0.078,233.63
3.254,0.074,234.43
3.376,0.05,234.63
3.372,0.048,235.05
3.366,0.048,234.96
3.386,0.05,235.77
3.496,0.146,236.76
3.426,0.146,234.59
3.44,0.148,235.13
3.44,0.146,235.14
3.454,0.15,235.75
3.45,0.15,235.69
3.48,0.154,236.86
3.474,0.152,236.72
3.456,0.15,236.05
1.832,0.17,237.54
2.044,0.102,237.44
3.354,0.0,237.0
3.282,0.074,235.55
3.308,0.074,236.51
3.314,0.072,236.76
3.306,0.072,237.11
1.692,0.054,238.72
3.342,0.07,237.66
3.354,0.07,238.2
3.334,0.072,237.46
3.33,0.072,237.36
2.74,0.064,238.13
2.188,0.06,237.74
3.33,0.07,237.26
3.34,0.07,237.69
3.306,0.072,236.44
3.044,0.072,236.23
1.766,0.058,237.7
3.376,0.0,235.73
3.414,0.052,236.51
3.426,0.054,237.11
3.42,0.054,237.06
1.876,0.074,238.63
3.442,0.056,237.58
3.414,0.054,236.87
3.412,0.056,236.94
2.542,0.068,238.17
2.82,0.062,237.42
3.41,0.054,236.91
3.392,0.052,236.24
2.878,0.06,237.17
1.848,0.112,238.59
3.494,0.144,237.43
3.42,0.0,237.73
3.226,0.0,237.2
1.948,0.0,238.41
3.392,0.0,236.6
3.368,0.0,236.12
3.378,0.0,236.54
1.872,0.0,238.48
3.212,0.0,237.27
3.346,0.0,237.06
3.308,0.072,236.49
3.302,0.072,236.28
2.36,0.064,236.89
2.652,0.046,236.64
3.392,0.0,236.58
3.398,0.0,236.83
3.424,0.046,237.75
1.86,0.066,239.69
3.25,0.082,238.95
3.502,0.172,236.46
3.484,0.17,235.98
3.478,0.168,235.85
1.696,0.194,238.19
3.494,0.17,236.28
3.482,0.17,236.4
3.48,0.17,236.46
3.474,0.168,236.28
2.308,0.184,237.33
2.926,0.178,237.09
3.472,0.17,236.39
3.48,0.17,236.75
3.454,0.168,235.73
3.464,0.17,236.03
1.786,0.096,237.68
3.182,0.0,235.99
3.378,0.0,236.26
3.372,0.0,236.03
3.362,0.0,235.7
3.112,0.0,236.08
1.614,0.056,237.31
3.358,0.0,236.14
3.388,0.0,236.61
3.392,0.0,236.93
2.81,0.0,237.97
2.18,0.0,238.02
3.37,0.0,236.06
3.326,0.0,234.45
2.778,0.0,235.31
2.358,0.0,237.1
0.96,0.054,238.68
1.606,0.0,238.76
2.35,0.0,238.59
2.428,0.068,238.87
2.078,0.072,238.97
0.78,0.09,239.93
2.426,0.068,239.05
2.412,0.066,238.46
2.428,0.07,239.68
1.53,0.084,240.72
1.388,0.086,240.87
2.424,0.07,239.71
2.428,0.072,239.89
2.388,0.07,239.48
0.376,0.1,241.64
2.202,0.074,240.07
2.43,0.07,239.77
2.346,0.052,240.05
1.916,0.054,239.75
0.384,0.0,240.58
2.334,0.06,239.2
2.32,0.06,238.84
2.306,0.062,238.39
2.306,0.064,238.39
0.436,0.0,241.06
1.584,0.05,240.89
2.328,0.062,239.46
2.326,0.062,239.27
2.334,0.06,239.57
1.846,0.054,239.99
0.284,0.0,242.04
2.342,0.06,239.89
2.392,0.0,239.91
2.414,0.0,240.02
2.414,0.0,239.97
0.754,0.086,241.27
1.42,0.178,238.64
2.468,0.162,237.47
2.474,0.164,238.05
2.488,0.168,239.03
1.81,0.182,240.28
0.674,0.2,241.36
2.444,0.094,239.42
2.41,0.068,238.9
2.412,0.07,239.13
2.206,0.072,239.37
0.37,0.1,241.58
2.104,0.076,240.11
2.404,0.068,238.73
2.418,0.07,239.52
2.342,0.0,239.74
1.262,0.046,240.96
0.852,0.0,241.64
2.34,0.06,240.05
2.336,0.06,240.07
2.334,0.06,239.99
2.33,0.06,239.74
1.038,0.0,241.17
0.386,0.0,242.39
2.35,0.06,240.41
2.346,0.06,240.5
2.346,0.06,240.55
1.834,0.052,240.97
1.222,0.046,241.58
2.342,0.06,240.21
2.334,0.06,239.98
1.666,0.052,240.65
1.198,0.0,241.68
2.35,0.058,240.7
2.398,0.0,240.7
2.444,0.072,240.11
0.406,0.098,241.71
2.434,0.072,240.13
2.502,0.136,240.24
2.518,0.176,240.53
1.516,0.19,241.36
1.498,0.188,241.02
2.508,0.174,240.06
2.504,0.174,240.09
