AppID,AllTimePeak
1026420,350.0
22670,
231330,1943.0
552520,92377.0
1293830,75598.0
12140,410.0
368080,
457140,27380.0
546050,1355.0
730310,3578.0
1345820,138.0
435790,1215.0
7940,1148.0
110630,
638230,3256.0
975470,96.0
748490,1658.0
351910,
1089830,392.0
1308880,11.0
549860,
809890,416.0
553260,1146.0
3010,
837610,
1495860,78.0
239430,
16130,17.0
237430,721.0
291690,
410320,5931.0
299480,
523210,
1278170,
1095120,42.0
839770,4969.0
1030840,36631.0
1228870,
1127500,9914.0
634120,
316260,33.0
559210,
40800,4836.0
226620,2998.0
1172470,624473.0
404730,3244.0
236490,
350970,
438490,1485.0
270880,19138.0
45750,608.0
1420080,10.0
266330,
11370,
508790,116.0
651670,1772.0
1275660,4.0
1222370,5452.0
22380,44890.0
710920,6342.0
1455840,7063.0
216210,73.0
464340,2119.0
1213230,99.0
458730,434.0
356190,67943.0
392000,58.0
471550,564.0
913740,2621.0
642830,
1140890,218.0
1233550,
1191620,
735060,
1207650,3333.0
21680,
765880,
227480,2249.0
353540,82.0
749800,95.0
585910,
470220,5639.0
681730,469.0
979310,
1203220,385770.0
241410,1280.0
278440,
11040,92.0
265590,81972.0
495140,550.0
840370,
378750,
388750,1086.0
527230,9840.0
511740,215.0
296770,
1189780,
577940,823.0
371900,
71165,
1316800,
821640,
763890,8091.0
589780,276.0
1262540,1220.0
628890,5610.0
581660,208.0
279260,190.0
31290,
766680,
793460,1646.0
1015940,
6120,286.0
1048740,
251470,348.0
204120,319.0
1720090,
462770,3995.0
761600,517.0
1610470,190.0
1057090,31224.0
324310,1245.0
281820,12.0
28000,276.0
783450,
1030830,3818.0
1567440,466.0
441680,
702680,
1003890,269.0
1286830,27416.0
1356670,6953.0
312560,146.0
581320,14474.0
260570,
272620,
17470,1754.0
23490,5650.0
1647730,
1818690,57.0
940650,
1937620,276.0
359870,13247.0
542050,139.0
425460,
1262580,12152.0
802810,
1236780,
624120,1618.0
273620,28.0
1323470,630.0
301560,
359630,
1097130,381.0
968350,
317060,
245470,2636.0
522240,
446550,
1232010,
564050,
252030,
960690,2360.0
1413480,1892.0
115800,1287.0
415200,6196.0
243970,2401.0
775580,
524220,23813.0
423900,
251430,96.0
247370,
1148650,3861.0
275390,2687.0
32460,316.0
312510,
300,2945.0
298110,16946.0
1385320,
238750,7953.0
719070,
319740,
447700,48.0
499890,
925100,
428550,672.0
237850,1679.0
1079830,
646010,
436500,144.0
699170,1772.0
887800,202.0
523770,
19030,
851850,25715.0
1221330,
420,1381.0
12900,2286.0
921570,6098.0
356400,237.0
316480,
1303990,
470780,
1590910,319.0
1175460,2106.0
327690,
783210,
866190,
211740,79.0
212680,18821.0
314560,
1608290,1140.0
700160,
18700,21.0
809000,
202370,
465660,
312440,
464110,
985950,277.0
115110,660.0
622220,3078.0
58200,
657240,99.0
215530,4210.0
887450,
578620,5261.0
1283410,1537.0
633440,
760060,4013.0
496390,
217750,1276.0
200190,
337480,377.0
271240,2698.0
790710,680.0
223220,494.0
32360,629.0
519860,942.0
414340,5619.0
357720,67.0
988240,
493200,629.0
854940,
347470,
408410,2057.0
1282210,1161.0
265970,805.0
39200,243.0
1028630,632.0
413410,3374.0
285900,2946.0
976730,93305.0
636450,
875310,23.0
111800,700.0
1232570,
1259980,2867.0
246760,862.0
661520,
794960,
55110,1827.0
462630,
545620,
544610,2125.0
286000,1971.0
344410,
888040,57.0
375450,7454.0
63209,
773370,731.0
575820,30.0
91810,
1074170,33.0
237350,
24240,49734.0
311210,63681.0
305620,14411.0
1209360,
328590,
1472660,1329.0
696180,80.0
587100,278.0
989690,755.0
346830,268.0
1257360,677.0
732690,844.0
211260,560.0
264060,2892.0
529490,62.0
13530,104.0
535850,
302710,176.0
1206430,121.0
1195290,1942.0
249190,275.0
368070,4047.0
666560,2.0
981890,4022.0
1173810,3948.0
99300,483.0
1035560,139.0
420060,
334210,
987840,9731.0
1105670,6723.0
202710,663.0
980300,1002.0
1733840,
303430,
1233590,1204.0
514150,5.0
761030,
906120,
250760,2840.0
450250,
357340,
285960,
289280,
1232460,164.0
589510,57.0
464060,894.0
774241,
34190,91.0
1363350,
211970,86.0
1200,455.0
559330,
1173800,3407.0
261640,67244.0
254840,
497360,
412660,
964990,
390040,
1353270,247.0
1129920,
1359920,
38490,
210770,13560.0
245050,232.0
1000010,6590.0
559680,68.0
108500,334.0
350310,152.0
1184560,
1451120,
574310,
1013310,
973810,2149.0
517810,143.0
1232150,11.0
401710,
1574580,1343.0
1263070,
638070,144294.0
228300,3048.0
565120,
313160,18658.0
244210,19780.0
1761390,2577.0
765870,333.0
638000,183.0
960910,2643.0
994730,3737.0
550450,
331870,440.0
209160,12575.0
1210490,23.0
448280,5757.0
15750,158.0
22340,87.0
400,3370.0
447290,360.0
