appid,user_score
1026420,7.1
22670,6.7
231330,6.8
552520,6.9
1293830,8.4
12140,8.9
368080,7.9
457140,8.3
546050,8.1
730310,4.4
1345820,6.1
435790,5.5
7940,8.5
110630,6.0
638230,8.6
975470,5.4
748490,8.1
351910,7.1
1089830,5.9
1308880,5.2
549860,7.4
809890,7.2
553260,6.5
3010,7.0
837610,8.7
1495860,tbd
239430,6.8
16130,tbd
237430,8.1
291690,5.6
410320,7.3
299480,6.9
523210,7.3
1278170,6.3
1095120,tbd
839770,5.8
1030840,7.3
1228870,tbd
1127500,7.6
634120,7.7
316260,6.3
559210,8.4
40800,7.9
226620,7.8
1172470,6.6
404730,7.5
236490,5.9
350970,5.8
438490,7.1
270880,7.5
45750,6.4
1420080,6.7
266330,5.1
11370,5.7
508790,8.3
651670,6.5
1275660,tbd
1222370,6.1
22380,8.6
710920,7.5
1455840,7.4
216210,6.0
464340,5.7
1213230,6.6
458730,7.0
356190,5.3
392000,6.3
471550,6.9
913740,7.0
642830,5.2
1140890,6.2
1233550,5.1
1191620,tbd
735060,4.2
1207650,8.1
21680,7.7
765880,4.2
227480,6.7
353540,5.9
749800,7.0
585910,7.2
470220,7.1
681730,6.4
979310,6.3
1203220,6.0
241410,6.9
278440,7.2
11040,7.0
265590,7.3
495140,7.4
840370,8.2
378750,-1
388750,7.6
527230,6.9
511740,7.3
296770,6.5
1189780,8.0
577940,6.4
371900,6.6
71165,7.9
1316800,4.8
821640,7.4
763890,7.5
589780,7.5
1262540,6.0
628890,5.7
581660,5.4
279260,6.9
31290,7.1
766680,4.9
793460,7.0
1015940,6.9
6120,6.6
1048740,tbd
251470,7.1
204120,7.6
1720090,7.0
462770,7.9
761600,7.6
1610470,4.4
1057090,8.9
324310,5.7
281820,7.7
28000,5.6
783450,2.8
1030830,6.5
1567440,8.5
441680,4.1
702680,6.5
1003890,7.4
1286830,6.1
1356670,8.3
312560,7.5
581320,8.0
260570,7.7
272620,8.3
17470,8.4
23490,8.1
1647730,6.1
1818690,7.3
940650,7.4
1937620,tbd
359870,8.2
542050,7.8
425460,tbd
1262580,3.8
802810,6.4
1236780,5.3
624120,6.8
273620,8.7
1323470,7.1
301560,7.1
359630,8.2
1097130,6.2
968350,tbd
317060,6.1
245470,7.1
522240,7.0
446550,6.6
1232010,6.6
564050,7.2
252030,8.0
960690,7.6
1413480,7.8
115800,7.6
415200,8.1
243970,8.0
775580,7.6
524220,8.9
423900,6.5
251430,7.9
247370,7.5
1148650,6.4
275390,7.7
