appid,name,metacritic_url,steam_page,header_image,n_crit_revs,n_user_revs,metacritic_user_score_0_100_from_reviews
1026420,WARSAW,https://www.metacritic.com/game/pc/warsaw?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/1026420,https://cdn.akamai.steamstatic.com/steam/apps/1026420/header.jpg?t=1657716289,50.0,15.0,78.0
22670,Alien Breed 3: Descent,https://www.metacritic.com/game/pc/alien-breed-3-descent?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/22670,https://cdn.akamai.steamstatic.com/steam/apps/22670/header.jpg?t=1655730869,38.0,9.0,61.11111111111111
231330,Deadfall Adventures,https://www.metacritic.com/game/pc/deadfall-adventures?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/231330,https://cdn.akamai.steamstatic.com/steam/apps/231330/header.jpg?t=1561964976,44.0,74.0,73.24324324324324
552520,Far Cry® 5,https://www.metacritic.com/game/pc/far-cry-5?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/552520,https://cdn.akamai.steamstatic.com/steam/apps/552520/header.jpg?t=1628209646,156.0,1450.0,63.682758620689654
1293830,Forza Horizon 4,https://www.metacritic.com/game/pc/forza-horizon-4?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/1293830,https://cdn.akamai.steamstatic.com/steam/apps/1293830/header.jpg?t=1622068013,113.0,836.0,80.3468899521531
12140,Max Payne,https://www.metacritic.com/game/pc/max-payne?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/12140,https://cdn.akamai.steamstatic.com/steam/apps/12140/header.jpg?t=1618852800,77.0,301.0,87.27574750830564
368080,Aurion: Legacy of the Kori-Odan,https://www.metacritic.com/game/pc/aurion-legacy-of-the-kori-odan?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/368080,https://cdn.akamai.steamstatic.com/steam/apps/368080/header.jpg?t=1656698454,10.0,7.0,80.0
457140,Oxygen Not Included,https://www.metacritic.com/game/pc/oxygen-not-included?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/457140,https://cdn.akamai.steamstatic.com/steam/apps/457140/header_alt_assets_6.jpg?t=1654189805,7.0,41.0,74.63414634146342
546050,Puyo Puyo™Tetris®,https://www.metacritic.com/game/puyo-puyo-tetris,https://store.steampowered.com/app/546050,https://cdn.akamai.steamstatic.com/steam/apps/546050/header.jpg?t=1611834147,76.0,62.0,79.83870967741935
730310,DYNASTY WARRIORS 9,https://www.metacritic.com/game/pc/dynasty-warriors-9?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/730310,https://cdn.akamai.steamstatic.com/steam/apps/730310/header.jpg?t=1657631096,81.0,78.0,36.92307692307693
1345820,Ragnarock,https://www.metacritic.com/game/pc/ragnarock?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/1345820,https://cdn.akamai.steamstatic.com/steam/apps/1345820/header_alt_assets_6.jpg?t=1655110701,14.0,1.0,10.0
435790,10 Second Ninja X,https://www.metacritic.com/game/pc/10-second-ninja-x?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/435790,https://cdn.akamai.steamstatic.com/steam/apps/435790/header.jpg?t=1634742090,29.0,15.0,66.66666666666667
7940,Call of Duty® 4: Modern Warfare®,https://www.metacritic.com/game/pc/call-of-duty-4-modern-warfare?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/7940,https://cdn.akamai.steamstatic.com/steam/apps/7940/header.jpg?t=1646762118,221.0,802.0,85.61097256857856
110630,Mutant Storm: Reloaded,https://www.metacritic.com/game/pc/mutant-storm-reloaded?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/110630,https://cdn.akamai.steamstatic.com/steam/apps/110630/header.jpg?t=1447355365,18.0,0.0,
638230,Journey,https://www.metacritic.com/game/pc/journey?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/638230,https://cdn.akamai.steamstatic.com/steam/apps/638230/header.jpg?t=1646936237,128.0,925.0,82.29189189189188
975470,Silver Chains,https://www.metacritic.com/game/pc/silver-chains?ftag=MCD-06-10aaa1f,https://store.steampowered.com/app/975470,https://cdn.akamai.steamstatic.com/steam/apps/975470/header.jpg?t=1655382203,21.0,12.0,73.33333333333333
